,mol_id,Smiles
1225,445,COc1cc(-c2nc3ccccc3n2Cc2ccc(Cl)cc2Cl)c2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4
1393,1380,N#Cc1ccc(Nc2nc(Oc3ncnc4ccccc34)nc(N3CCN(c4ccccc4Cl)CC3)n2)cc1C(F)(F)F
1037,1208,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
9,628,COc1ccc(C2C(Cl)C(=O)N2CCN2CCN(C(=O)CCl)CC2)cc1O
859,579,Fc1ccc(-n2cc(CN(Cc3cn(-c4ccc(F)c(Cl)c4)nn3)c3nc4ccccc4s3)nn2)cc1Cl
777,756,Cc1cc(=O)oc2cc(OCCCCn3cncn3)cc(OCCCCn3cncn3)c12.Cl
756,1525,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1161,1042,COc1cc(-c2nc3ccccc3n2Cc2cccc(Cl)c2)c2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4
1495,378,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(CC(=O)OCC4C=CC(n5cc(C)c(=O)[nH]c5=O)O4)CC3)cc21
301,1434,c1ccc(-c2nc3ccccc3[nH]2)cc1
560,1091,COC(=O)C1CCCCN(c2ccccn2)C1C(=O)OC
1408,81,CN(C)C(=N)c1ccc2cc(-c3ccc(Oc4ccc(-c5cc6ccc(C(=N)N(C)C)cc6[nH]5)cc4)cc3)[nH]c2c1
1204,1407,COc1cc(C=O)c2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4
1374,348,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
1262,1052,CC1(C)CC(=O)C2=C(C1)N(c1ccc(F)cc1)C(=O)CC2c1cn(-c2ccccc2)nc1-c1ccc(Br)cc1
1473,1237,N#Cc1c(-c2ccccc2)cc(-c2ccc(Nc3cc(=O)oc4ccccc34)cc2)nc1N
519,762,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1cc[n+](c1)Cc1ccc(cc1)-c1cccc(c1C(=O)O)-c1ccc(cc1)C[n+]1ccn(c1)Cc1ccc(cc1)C3=O.[Br-].[Br-]
930,138,CCn1c2ccc3cc2c2cc(ccc21)C(=O)c1ccc(cc1)Cn1cc[n+](c1)Cc1cc([N+](=O)[O-])cc(c1O)C[n+]1ccn(c1)Cc1ccc(cc1)C3=O.[Br-].[Br-]
217,796,O=C(O)c1cn(CC(O)Cn2cncn2)c2cc(C(F)(F)F)ccc2c1=O
1133,174,CCC(=O)NC1=NN(C(=O)CC)C2(S1)C1CCCC2C(c2ccc(Cl)cc2)NC1c1ccc(Cl)cc1
732,969,O=C(OCc1cn(-c2cccc(Cl)c2Cl)nn1)c1cn(C2CC2)c2cc(N3CCN(Cc4cn(-c5cccc(Cl)c5Cl)nn4)CC3)c(F)cc2c1=O
1556,774,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
1205,959,CC(=O)NC1=NN(C(C)=O)C2(S1)C1CCCC2C(c2ccc(F)cc2)NC1c1ccc(F)cc1
1535,865,CCOC(=O)c1cn(CC)c2nc(C)ccc2c1=O
248,1044,N#Cc1ccc(Nc2nc(Oc3ccnc4ccccc34)nc(N3CCN(C(c4ccccc4)c4ccc(Cl)cc4)CC3)n2)cc1C(F)(F)F
717,166,COc1cc(-c2nc3ccccc3n2Cc2ccccc2F)c2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4.Cl
1312,1114,COc1ccc2cc3[n+](cc2c1OCc1nc2ccccc2n1Cc1ccc(Cl)cc1)CCc1cc2c(cc1-3)OCO2.[Cl-]
1089,404,O=C1CCCC2=C1C(c1cn(-c3ccccc3)nc1-c1ccccc1)CC(=O)N2c1ccc(F)cc1
349,47,O=C1c2cccc3c(Br)ccc(c23)C(=O)N1CCCCCn1c[n+](Cc2ccc(F)cc2F)cn1.[Br-]
661,206,Clc1ccc(-c2nnc3n2ccc2nnc(-c4ccc(Cl)cc4)n23)cc1
599,1226,CCCCCCCCn1c(-c2cc(-c3ccc(Cl)cc3)nc(N)n2)nc2ccccc21
272,1433,COc1ccc(C2SCC(=O)N2CCN2CCNCC2)cc1
504,383,C=CCn1c(=O)c(C2C(C(=O)OC(C)C)=C(N)N(NC(=O)c3ccncc3)C3=C2C(=O)CC(C)(C)C3)cc2ccccc21
180,811,CCCCCCCCOc1cc(C)c2c(c1C(C)C)C=C(C)C(=O)C2=O
1101,1530,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
273,1148,CCOC(=O)c1cn(CC2CO2)c2c(F)cccc2c1=O
