,0
AD2D660,0
AD2D661,0
AD2D662,0
AD2D663,0
AD2D666,0
AD2D675,0
AD2D676,0
AD2D681,0
AD2D644,0
AD2D647,0
AD2D648,0
AD2D649,0
AD2D651,0
AD2D652,0
AD2D653,0
AD2D657,0
AD2D631,0
AD2D636,0
AD2D637,0
AD2D638,0
AD2D639,0
AD2D641,0
AD2D642,0
AD2D643,0
AD2D598,0
AD2D603,0
AD2D604,0
AD2D625,0
AD2D626,0
AD2D627,0
AD2D628,0
AD2D630,0
ATSC1c,0
ATSC2c,0
ATSC3c,0
ATSC4c,0
ATSC5c,0
ATSC6c,0
ATSC7c,0
ATSC8c,0
AATS2s,0
AATS3s,0
AATS4s,0
AATS5s,0
AATS6s,0
AATS7s,0
AATS8s,0
ATSC0c,0
AATS3i,0
AATS4i,0
AATS5i,0
AATS6i,0
AATS7i,0
AATS8i,0
AATS0s,0
AATS1s,0
AATS6e,0
AATS7e,0
AATS8e,0
AATS0p,0
AATS4p,0
AATS0i,0
AATS1i,0
AATS2i,0
ATSC1p,0
ATSC5p,0
ATSC7p,0
ATSC8p,0
ATSC1i,0
ATSC2i,0
ATSC3i,0
ATSC4i,0
ATSC1e,0
ATSC2e,0
ATSC3e,0
ATSC4e,0
ATSC5e,0
ATSC6e,0
ATSC7e,0
ATSC8e,0
ATSC1v,0
ATSC2v,0
ATSC3v,0
ATSC4v,0
ATSC5v,0
ATSC6v,0
ATSC7v,0
ATSC8v,0
ATSC1m,0
ATSC2m,0
ATSC3m,0
ATSC4m,0
ATSC5m,0
ATSC6m,0
ATSC7m,0
ATSC8m,0
AATSC6v,0
AATSC7v,0
AATSC8v,0
AATSC5e,0
AATSC6e,0
AATSC7e,0
AATSC8e,0
AATSC0p,0
AATSC8c,0
AATSC1m,0
AATSC5m,0
AATSC6m,0
AATSC7m,0
AATSC8m,0
AATSC0v,0
AATSC5v,0
ATSC5s,0
ATSC7s,0
ATSC8s,0
AATSC0c,0
AATSC1c,0
AATSC4c,0
AATSC6c,0
AATSC7c,0
ATSC5i,0
ATSC6i,0
ATSC7i,0
ATSC8i,0
ATSC1s,0
ATSC2s,0
ATSC3s,0
ATSC4s,0
MATS5s,0
MATS6s,0
MATS7s,0
MATS8s,0
GATS1c,0
GATS2c,0
GATS3c,0
GATS4c,0
MATS6m,0
MATS7m,0
MATS8m,0
MATS2e,0
MATS1s,0
MATS2s,0
MATS3s,0
MATS4s,0
AATSC6s,0
AATSC7s,0
AATSC8s,0
MATS1c,0
MATS2m,0
MATS3m,0
MATS4m,0
MATS5m,0
AATSC5p,0
AATSC6p,0
AATSC7p,0
AATSC8p,0
AATSC6i,0
AATSC7i,0
AATSC8i,0
AATSC5s,0
GATS1p,0
GATS2p,0
GATS3p,0
GATS4p,0
GATS5p,0
GATS6p,0
GATS7p,0
GATS8p,0
GATS1e,0
GATS2e,0
GATS3e,0
GATS4e,0
GATS5e,0
GATS6e,0
GATS7e,0
GATS8e,0
GATS5m,0
GATS6m,0
GATS7m,0
GATS8m,0
GATS2v,0
GATS6v,0
GATS7v,0
GATS8v,0
GATS5c,0
GATS6c,0
GATS7c,0
GATS8c,0
GATS1m,0
GATS2m,0
GATS3m,0
GATS4m,0
VR1_Dzp,0
SM1_Dzs,0
VE1_Dzs,0
VE2_Dzs,0
VE3_Dzs,0
VR1_Dzs,0
nBase,0
BCUTw-1l,0
SM1_DzZ,0
VE1_DzZ,0
VE3_DzZ,0
VR1_DzZ,0
VR3_DzZ,0
SM1_Dzv,0
VE1_Dzv,0
VE2_Dzv,0
GATS1s,0
GATS2s,0
GATS3s,0
GATS4s,0
GATS5s,0
GATS6s,0
GATS7s,0
GATS8s,0
GATS1i,0
GATS2i,0
GATS3i,0
GATS4i,0
GATS5i,0
GATS6i,0
GATS7i,0
GATS8i,0
VC-4,0
VC-5,0
VC-6,0
VPC-4,0
ASP-0,0
ASP-1,0
ASP-2,0
ASP-3,0
SCH-5,0
SCH-6,0
VCH-5,0
SC-3,0
SC-4,0
SC-5,0
SC-6,0
VC-3,0
C1SP2,0
C2SP2,0
C3SP2,0
C1SP3,0
C2SP3,0
C3SP3,0
C4SP3,0
SCH-3,0
BCUTw-1h,0
BCUTc-1l,0
BCUTc-1h,0
BCUTp-1l,0
BCUTp-1h,0
nBondsD,0
nBondsT,0
C2SP1,0
ETA_EtaP_B,0
nHBAcc,0
nHBAcc_Lipinski,0
nHBDon,0
IC0,0
IC1,0
IC2,0
IC3,0
ETA_Shape_Y,0
ETA_Shape_X,0
ETA_BetaP,0
ETA_BetaP_s,0
ETA_Beta_ns_d,0
ETA_BetaP_ns_d,0
ETA_EtaP,0
ETA_Eta_B,0
ETA_dAlpha_B,0
ETA_Epsilon_3,0
ETA_Epsilon_5,0
ETA_dEpsilon_B,0
ETA_dEpsilon_D,0
ETA_Psi_1,0
ETA_dPsi_B,0
ETA_Shape_P,0
ASP-7,0
AVP-0,0
SpMax_Dt,0
VE1_Dt,0
VE2_Dt,0
ECCEN,0
ETA_AlphaP,0
ETA_dAlpha_A,0
MDEN-22,0
MDEN-23,0
MDEN-33,0
R_TpiPCTPC,0
PetitjeanNumber,0
nRotB,0
RotBFrac,0
RotBtFrac,0
MDEC-33,0
MDEC-44,0
MDEO-11,0
MDEO-12,0
MDEO-22,0
MDEN-11,0
MDEN-12,0
MDEN-13,0
nAtomP,0
nAtomLAC,0
MDEC-11,0
MDEC-12,0
MDEC-13,0
MDEC-22,0
MDEC-23,0
MDEC-24,0
SIC0,0
SIC1,0
SIC2,0
SIC3,0
MIC0,0
MIC1,0
ZMIC1,0
nAtomLC,0
FP11,0
FP12,0
FP13,0
FP14,0
FP15,0
FP16,0
FP17,0
FP18,0
FP3,0
FP4,0
FP5,0
FP6,0
FP7,0
FP8,0
FP9,0
FP10,0
JGI8,0
JGI9,0
JGI10,0
VR1_D,0
SRW5,0
XLogP,0
FP1,0
FP2,0
LipinskiFailures,0
JGI1,0
JGI2,0
JGI3,0
JGI4,0
JGI5,0
JGI6,0
JGI7,0
FP43,0
FP44,0
FP45,0
FP46,0
FP47,0
FP48,0
FP49,0
FP50,0
FP35,0
FP36,0
FP37,0
FP38,0
FP39,0
FP40,0
FP41,0
FP42,0
FP27,0
FP28,0
FP29,0
FP30,0
FP31,0
FP32,0
FP33,0
FP34,0
FP19,0
FP20,0
FP21,0
FP22,0
FP23,0
FP24,0
FP25,0
FP26,0
FP75,0
FP76,0
FP77,0
FP78,0
FP79,0
FP80,0
FP81,0
FP82,0
FP67,0
FP68,0
FP69,0
FP70,0
FP71,0
FP72,0
FP73,0
FP74,0
FP59,0
FP60,0
FP61,0
FP62,0
FP63,0
FP64,0
FP65,0
FP66,0
FP51,0
FP52,0
FP53,0
FP54,0
FP55,0
FP56,0
FP57,0
FP58,0
FP107,0
FP108,0
FP109,0
FP110,0
FP111,0
FP112,0
FP113,0
FP114,0
FP99,0
FP100,0
FP101,0
FP102,0
FP103,0
FP104,0
FP105,0
FP106,0
FP91,0
FP92,0
FP93,0
FP94,0
FP95,0
FP96,0
FP97,0
FP98,0
FP83,0
FP84,0
FP85,0
FP86,0
FP87,0
FP88,0
FP89,0
FP90,0
FP139,0
FP140,0
FP141,0
FP142,0
FP143,0
FP144,0
FP145,0
FP146,0
FP131,0
FP132,0
FP133,0
FP134,0
FP135,0
FP136,0
FP137,0
FP138,0
FP123,0
FP124,0
FP125,0
FP126,0
FP127,0
FP128,0
FP129,0
FP130,0
FP115,0
FP116,0
FP117,0
FP118,0
FP119,0
FP120,0
FP121,0
FP122,0
FP171,0
FP172,0
FP173,0
FP174,0
FP175,0
FP176,0
FP177,0
FP178,0
FP163,0
FP164,0
FP165,0
FP166,0
FP167,0
FP168,0
FP169,0
FP170,0
FP155,0
FP156,0
FP157,0
FP158,0
FP159,0
FP160,0
FP161,0
FP162,0
FP147,0
FP148,0
FP149,0
FP150,0
FP151,0
FP152,0
FP153,0
FP154,0
FP203,0
FP204,0
FP205,0
FP206,0
FP207,0
FP208,0
FP209,0
FP210,0
FP195,0
FP196,0
FP197,0
FP198,0
FP199,0
FP200,0
FP201,0
FP202,0
FP187,0
FP188,0
FP189,0
FP190,0
FP191,0
FP192,0
FP193,0
FP194,0
FP179,0
FP180,0
FP181,0
FP182,0
FP183,0
FP184,0
FP185,0
FP186,0
FP235,0
FP236,0
FP237,0
FP238,0
FP239,0
FP240,0
FP241,0
FP242,0
FP227,0
FP228,0
FP229,0
FP230,0
FP231,0
FP232,0
FP233,0
FP234,0
FP219,0
FP220,0
FP221,0
FP222,0
FP223,0
FP224,0
FP225,0
FP226,0
FP211,0
FP212,0
FP213,0
FP214,0
FP215,0
FP216,0
FP217,0
FP218,0
FP268,0
FP269,0
FP270,0
FP271,0
FP272,0
FP273,0
FP274,0
FP275,0
FP260,0
FP261,0
FP262,0
FP263,0
FP264,0
FP265,0
FP266,0
FP267,0
FP251,0
FP252,0
FP253,0
FP255,0
FP256,0
FP257,0
FP258,0
FP259,0
FP243,0
FP244,0
FP245,0
FP246,0
FP247,0
FP248,0
FP249,0
FP250,0
FP300,0
FP301,0
FP302,0
FP303,0
FP304,0
FP305,0
FP306,0
FP307,0
FP292,0
FP293,0
FP294,0
FP295,0
FP296,0
FP297,0
FP298,0
FP299,0
FP284,0
FP285,0
FP286,0
FP287,0
FP288,0
FP289,0
FP290,0
FP291,0
FP276,0
FP277,0
FP278,0
FP279,0
FP280,0
FP281,0
FP282,0
FP283,0
FP332,0
FP333,0
FP334,0
FP335,0
FP336,0
FP337,0
FP338,0
FP339,0
FP324,0
FP325,0
FP326,0
FP327,0
FP328,0
FP329,0
FP330,0
FP331,0
FP316,0
FP317,0
FP318,0
FP319,0
FP320,0
FP321,0
FP322,0
FP323,0
FP308,0
FP309,0
FP310,0
FP311,0
FP312,0
FP313,0
FP314,0
FP315,0
FP364,0
FP365,0
FP366,0
FP367,0
FP368,0
FP369,0
FP370,0
FP371,0
FP356,0
FP357,0
FP358,0
FP359,0
FP360,0
FP361,0
FP362,0
FP363,0
FP348,0
FP349,0
FP350,0
FP351,0
FP352,0
FP353,0
FP354,0
FP355,0
FP340,0
FP341,0
FP342,0
FP343,0
FP344,0
FP345,0
FP346,0
FP347,0
FP397,0
FP398,0
FP399,0
FP400,0
FP401,0
FP402,0
FP403,0
FP404,0
FP388,0
FP389,0
FP390,0
FP392,0
FP393,0
FP394,0
FP395,0
FP396,0
FP380,0
FP381,0
FP382,0
FP383,0
FP384,0
FP385,0
FP386,0
FP387,0
FP372,0
FP373,0
FP374,0
FP375,0
FP376,0
FP377,0
FP378,0
FP379,0
FP429,0
FP430,0
FP431,0
FP432,0
FP433,0
FP434,0
FP435,0
FP436,0
FP421,0
FP422,0
FP423,0
FP424,0
FP425,0
FP426,0
FP427,0
FP428,0
FP413,0
FP414,0
FP415,0
FP416,0
FP417,0
FP418,0
FP419,0
FP420,0
FP405,0
FP406,0
FP407,0
FP408,0
FP409,0
FP410,0
FP411,0
FP412,0
FP461,0
FP462,0
FP463,0
FP464,0
FP465,0
FP466,0
FP467,0
FP468,0
FP453,0
FP454,0
FP455,0
FP456,0
FP457,0
FP458,0
FP459,0
FP460,0
FP445,0
FP446,0
FP447,0
FP448,0
FP449,0
FP450,0
FP451,0
FP452,0
FP437,0
FP438,0
FP439,0
FP440,0
FP441,0
FP442,0
FP443,0
FP444,0
FP493,0
FP494,0
FP495,0
FP496,0
FP497,0
FP498,0
FP499,0
FP500,0
FP485,0
FP486,0
FP487,0
FP488,0
FP489,0
FP490,0
FP491,0
FP492,0
FP477,0
FP478,0
FP479,0
FP480,0
FP481,0
FP482,0
FP483,0
FP484,0
FP469,0
FP470,0
FP471,0
FP472,0
FP473,0
FP474,0
FP475,0
FP476,0
FP525,0
FP526,0
FP527,0
FP528,0
FP529,0
FP530,0
FP531,0
FP532,0
FP517,0
FP518,0
FP519,0
FP520,0
FP521,0
FP522,0
FP523,0
FP524,0
FP509,0
FP510,0
FP511,0
FP512,0
FP513,0
FP514,0
FP515,0
FP516,0
FP501,0
FP502,0
FP503,0
FP504,0
FP505,0
FP506,0
FP507,0
FP508,0
FP557,0
FP558,0
FP559,0
FP560,0
FP561,0
FP562,0
FP563,0
FP564,0
FP549,0
FP550,0
FP551,0
FP552,0
FP553,0
FP554,0
FP555,0
FP556,0
FP541,0
FP542,0
FP543,0
FP544,0
FP545,0
FP546,0
FP547,0
FP548,0
FP533,0
FP534,0
FP535,0
FP536,0
FP537,0
FP538,0
FP539,0
FP540,0
FP590,0
FP591,0
FP592,0
FP593,0
FP594,0
FP595,0
FP596,0
FP597,0
FP582,0
FP583,0
FP584,0
FP585,0
FP586,0
FP587,0
FP588,0
FP589,0
FP573,0
FP574,0
FP576,0
FP577,0
FP578,0
FP579,0
FP580,0
FP581,0
FP565,0
FP566,0
FP567,0
FP568,0
FP569,0
FP570,0
FP571,0
FP572,0
FP622,0
FP623,0
FP624,0
FP625,0
FP626,0
FP627,0
FP628,0
FP629,0
FP614,0
FP615,0
FP616,0
FP617,0
FP618,0
FP619,0
FP620,0
FP621,0
FP606,0
FP607,0
FP608,0
FP609,0
FP610,0
FP611,0
FP612,0
FP613,0
FP598,0
FP599,0
FP600,0
FP601,0
FP602,0
FP603,0
FP604,0
FP605,0
FP654,0
FP655,0
FP656,0
FP657,0
FP658,0
FP659,0
FP660,0
FP661,0
FP646,0
FP647,0
FP648,0
FP649,0
FP650,0
FP651,0
FP652,0
FP653,0
FP638,0
FP639,0
FP640,0
FP641,0
FP642,0
FP643,0
FP644,0
FP645,0
FP630,0
FP631,0
FP632,0
FP633,0
FP634,0
FP635,0
FP636,0
FP637,0
FP686,0
FP687,0
FP688,0
FP689,0
FP690,0
FP691,0
FP692,0
FP693,0
FP678,0
FP679,0
FP680,0
FP681,0
FP682,0
FP683,0
FP684,0
FP685,0
FP670,0
FP671,0
FP672,0
FP673,0
FP674,0
FP675,0
FP676,0
FP677,0
FP662,0
FP663,0
FP664,0
FP665,0
FP666,0
FP667,0
FP668,0
FP669,0
FP718,0
FP719,0
FP720,0
FP721,0
FP722,0
FP723,0
FP724,0
FP725,0
FP710,0
FP711,0
FP712,0
FP713,0
FP714,0
FP715,0
FP716,0
FP717,0
FP702,0
FP703,0
FP704,0
FP705,0
FP706,0
FP707,0
FP708,0
FP709,0
FP694,0
FP695,0
FP696,0
FP697,0
FP698,0
FP699,0
FP700,0
FP701,0
FP752,0
FP753,0
FP754,0
FP755,0
FP756,0
FP757,0
FP758,0
FP759,0
FP744,0
FP745,0
FP746,0
FP747,0
FP748,0
FP749,0
FP750,0
FP751,0
FP734,0
FP735,0
FP736,0
FP737,0
FP738,0
FP739,0
FP740,0
FP741,0
FP726,0
FP727,0
FP728,0
FP729,0
FP730,0
FP731,0
FP732,0
FP733,0
FP784,0
FP785,0
