,PC1
apol,0.04052423949737619
nHBAcc,0.038128658868045444
ATS0s,0.03807059814855827
ATSC0c,0.03785343038735079
MDEC-33,0.03693034493394142
maxHBa,0.036610877306809675
nHeteroRing,0.03633691665125991
VC-3,0.03632611867736615
SC-5,0.036182904300433125
MDEC-23,0.03596371321159792
hmax,0.035660288745667595
GraphFP554,0.035354265566561884
TopoPSA,0.035312036723860935
MLFER_BH,0.03528798469914696
FP921,0.03511162728315476
gmin,0.03507196687807047
hmin,0.03507193597227071
MACCSFP145,0.034810814910249205
FP994,0.034525214352517535
ExtFP841,0.034001547211937204
ExtFP644,0.03390561151848755
GraphFP967,0.03363800218767774
APC2D3_C_N,0.033473901535109186
nTRing,0.03338900792577012
maxwHBa,0.03326405134161261
GATS5c,0.033251107226406076
SubFP302,0.03320843158074901
ExtFP435,0.033008086778477275
GraphFP367,0.03299319827405474
MACCSFP120,0.032946056519452864
GraphFP520,0.03292534532792485
FP144,0.03290767802145631
FP159,0.03286671272406342
ExtFP260,0.032723900755850584
ExtFP147,0.03267225889101577
KRFPC2975,0.032639128324388866
AD2D549,0.03259546785826635
APC2D2_C_N,0.032586924907583734
ExtFP350,0.032531742972161784
GATS8c,0.032490267906932116
ExtFP1012,0.032446115614404254
PubchemFP12,0.03242755663553636
FP181,0.032320519774902884
AD2D627,0.03226686748803116
AD2D626,0.032222383057041164
GraphFP14,0.032163654477859585
ExtFP228,0.03212740244786776
minHother,0.03211101570334833
FP231,0.03200704576342211
GraphFP128,0.03196662944411262
GATS7i,0.03193946958139415
GATS8v,0.031909346363672784
MACCSFP142,0.03189851182887121
ExtFP478,0.031893244988936635
GraphFP183,0.031869229258748695
ECCEN,0.0318372033117126
FP239,0.031808326558696726
AD2D470,0.031774854115318885
GraphFP298,0.031764206908214326
EStateFP9,0.03165099968397845
GraphFP256,0.03164396175383206
AD2D548,0.03158118070479484
ATSC1c,0.03154322519364253
KRFP3224,0.031448335891950965
ExtFP1013,0.03143627433535273
ExtFP977,0.03141007164344631
GraphFP179,0.03139208257550493
APC2D6_C_N,0.03138805185094669
VC-5,0.03138230861619825
MACCSFP97,0.03138058235143437
FP18,0.031279774250148204
GraphFP894,0.031165581299933208
MACCSFP80,0.031165142359470127
nN,0.03109665441444338
