,Feature,Importance
153,MATS6s,0.0074105681367736456
156,GATS1c,0.007033495588334708
881,FP550,0.006805284652209911
136,AATSC6s,0.0064039797058569135
124,AATSC6e,0.006190615155805002
0,nAcid,0.005488170495240248
1516,ExtFP166,0.004854857824218976
3306,AD2D339,0.004728904197881771
103,ATSC4s,0.004713294890519118
269,ETA_Psi_1,0.0045357331234834675
1027,FP697,0.00453557201858571
3351,AD2D495,0.004449444706935773
57,ATSC2c,0.004392649302198992
139,MATS1c,0.004287258383788006
1274,FP946,0.004204129518973527
302,MDEC-23,0.004130669038017861
2099,ExtFP755,0.003811148587628384
50,AATS4s,0.0037670693469899156
60,ATSC5c,0.003730590301281119
226,BCUTc-1h,0.0037051450900136545
45,AATS8i,0.0035859512607410732
325,JGI5,0.0035739040321207897
2763,GraphFP457,0.0034778372173431336
1194,FP866,0.0034174887551329503
125,AATSC7e,0.0033696162129250155
294,ZMIC1,0.0032636391866026214
178,GATS3e,0.0032611315634263048
266,ETA_Epsilon_5,0.0032419132922390853
1256,FP928,0.0032265885370415526
2631,GraphFP306,0.0031423093836806305
46,AATS0s,0.003055624382780039
1254,FP926,0.003003175728997662
272,ETA_Shape_Y,0.0029888088675499537
112,AATSC8c,0.002967702290761265
58,ATSC3c,0.0029023731653676833
196,GATS5i,0.0028916780028083733
49,AATS3s,0.0028853002396295973
144,MATS6m,0.0028351662824633427
19,AATS5m,0.0028283591317016447
197,GATS6i,0.0028047623427474434
322,JGI2,0.002795448112586181
20,AATS7m,0.0027953524308162105
241,SCH-6,0.0027812318817973603
97,ATSC6i,0.0027743094616876074
161,GATS6c,0.00277376181516413
83,ATSC4e,0.002766457549176622
201,GATS2s,0.002737698059319126
173,GATS6v,0.0027250638046984865
167,GATS4m,0.00269380542916715
95,ATSC4i,0.0026916948106476463
314,MDEN-33,0.0026896756303185928
333,XLogP,0.002665799957787437
2320,ExtFP979,0.002656284383655076
102,ATSC3s,0.002636033714069011
184,GATS1p,0.0026287876708520107
85,ATSC6e,0.0026276609737624513
135,AATSC5s,0.0026188437719161096
1833,ExtFP485,0.002603309347597349
233,C2SP2,0.0025950011161827258
182,GATS7e,0.00257454056150014
158,GATS3c,0.0025745206201316147
306,MDEO-11,0.002559798052556582
29,AATS0e,0.0025516503144301485
205,GATS6s,0.0025368879856544524
86,ATSC7e,0.002535774420594792
91,ATSC8p,0.0025289685940852154
18,AATS4m,0.0025188749141597344
92,ATSC1i,0.002514746048719291
1927,ExtFP581,0.0024993302778644195
181,GATS6e,0.0024721758148178955
262,ETA_AlphaP,0.0024589676284264565
188,GATS5p,0.002443709606883815
229,nBondsD,0.0024290569270716544
891,FP560,0.002422258258757702
25,AATS5v,0.0024123274770418137
502,FP169,0.00239479827093441
186,GATS3p,0.00239001135229255
1178,FP850,0.002350146384426676
3355,AD2D501,0.002349912657126078
332,SRW5,0.00233504016831776
87,ATSC8e,0.0023225207127998207
63,ATSC8c,0.0023068930736165265
1139,FP811,0.0023049778686137002
239,SCH-3,0.0022800952461685497
285,IC1,0.0022753946955604096
252,ASP-0,0.0022677227006899768
75,ATSC4v,0.002264431606225138
137,AATSC7s,0.0022618730407256
41,AATS4i,0.0022618268412830716
132,AATSC6i,0.0022562814563529647
3300,AD2D329,0.0022549448261789213
284,IC0,0.002249979323441964
32,AATS6e,0.002249431943658878
134,AATSC8i,0.002225713188380905
154,MATS7s,0.0022072547891631646
328,JGI8,0.002204983598830785
438,FP105,0.0021970377672925192
157,GATS2c,0.0021914755273939684
152,MATS5s,0.0021902626109538002
84,ATSC5e,0.002186965045410329
217,SM1_Dzs,0.0021842351694182595
304,MDEC-33,0.002174077580276473
1966,ExtFP620,0.0021685594405303397
2169,ExtFP825,0.0021611812710039795
69,ATSC6m,0.0021517073662128882
324,JGI4,0.0021447512080873168
44,AATS7i,0.002140306285994369
106,ATSC8s,0.002136307236220371
40,AATS3i,0.00210449249660227
861,FP530,0.002092976734842616
82,ATSC3e,0.0020574637682381465
315,R_TpiPCTPC,0.0020464257852710866
279,ETA_Eta_B,0.0020384801695664183
255,ASP-3,0.002023130019036627
264,ETA_dAlpha_B,0.002014258402035822
287,IC3,0.002014011870633895
301,MDEC-22,0.0020087977313567058
225,BCUTc-1l,0.0020055701188604878
70,ATSC7m,0.001998775080777815
202,GATS3s,0.0019872662045198964
290,SIC2,0.001974698237350416
120,AATSC6v,0.001966421452639051
110,AATSC6c,0.0019462246487437745
108,AATSC1c,0.0019434025467201473
111,AATSC7c,0.0019431445975207982
74,ATSC3v,0.0019419064765686708
176,GATS1e,0.0019399912942463485
1725,ExtFP377,0.001936760663421014
2221,ExtFP878,0.0019354584582261137
38,AATS1i,0.0019138735838816715
2197,ExtFP854,0.001909851500150816
519,FP186,0.0019092246748952353
215,VE2_Dzv,0.0019046163574037694
189,GATS6p,0.0019025784587002447
253,ASP-1,0.0018936658410480603
143,MATS5m,0.0018891649226566076
37,AATS0i,0.00187577590590325
251,VPC-4,0.0018757192129431877
257,AVP-0,0.0018751806981012155
109,AATSC4c,0.0018728694330217527
177,GATS2e,0.0018707997922935155
160,GATS5c,0.001864687761262375
275,ETA_BetaP_s,0.001861161051455046
55,ATSC0c,0.0018546052582860686
14,ATS0s,0.001847893463510884
72,ATSC1v,0.0018443241975666595
1216,FP888,0.0018385555625770184
370,FP37,0.0018358515280285132
195,GATS4i,0.0018340494680776933
323,JGI3,0.0018281843411508858
127,AATSC0p,0.0018269698435733868
1798,ExtFP450,0.0018180974386675264
254,ASP-2,0.0017989815219296148
1067,FP737,0.001783420553570101
93,ATSC2i,0.0017831199538506795
33,AATS7e,0.0017754254191844872
289,SIC1,0.0017668724447076423
976,FP646,0.0017661670148100728
89,ATSC5p,0.00176492397197116
159,GATS4c,0.001761331906498091
116,AATSC7m,0.0017484273941408702
200,GATS1s,0.001746961650846301
2705,GraphFP385,0.0017454440400211122
174,GATS7v,0.001744911713901063
1493,ExtFP143,0.0017408126114849898
